English,Manobo,Kagan,Cebuano
lad,dogsakay(M),usog-na-ulitawo-aw-insakto-da-sang-pang-idadon(K),ulitawohay(C)
ladder,agdan(M),panikanan(K),hagdanan(C)
lady,manigu-un(M),bubay-na-iyan-da-sang-insakto-na-pang-idadon(K),babaye-nga-hamtong(C)
lag,tamanan(M),ika-unan(K),pagkabiya(C)
lake,lin-aw(M),lawas-na-matingon-aw-mawom(K),lawa(C)
lamb,maintuok(M),karnero-na-nati(K),karnero-nga-nati(C)
lame,pakwi(M),tagbibi-yang-isa-ka-bitis(K),piang(C)
lament,namingaw(M),yamamingaw(K),kaguol(C)
lamentation,namingaw(M),karido(K),agulo(C)
lamp,bilun(M),ilawan(K),lamparahan(C)
land,pasak(M),lupa(K),yuta(C)
landlady,sulugin(M),bubay-na-yagabantay-sang-piyagatagtumunan(K),babaye-nga-magbabantay-sa-kaserahan(C)
landlord,sulugin(M),tagtumon-nang-bay-na-piyagapasadan(K),tagiya-sa-balay-nga-giabangan(C)
landmark,mohon(M),tanda(K),mohon(C)
lane,malisud(M),dan-na-tagbibis(K),dalan-ng-hagip-ut(C)
language,pananglitan(M),piyaglawngan(K),lingguwahe(C)
lanky,magasa(M),kuti-na-makagwas(K),gangkaw(C)
lapel,piloan(M),e-lupi(K),lapi(C)
lard,taba(M),lana(K),larda(C)
large,maas(M),mawwag(K),dako(C)
lassitude,tapolan(M),makawbas(K),kakapoy(C)
last,manigu-un(M),pagpanat(K),pagpakanunay(C)
latch,yawi(M),trangkay(K),trangka(C)
late,tamanan(M),yang-yamangagi(K),uwahi(C)
lather,buwa(M),suwa-ng-sabon(K),buwa(C)
laugh,ngisi(M),iko(K),katawa(C)
launch,lansad(M),paglusad(K),paglansand(C)
launder,laba(M),laba(K),laba(C)
laundress,bu-yak(M),bubay-na-manglabaday(K),babayeng-manlalaba(C)
laundry,sa-binit(M),labanan(K),labhanan(C)
lavatory,lababo(M),ogasanon(K),hugasanan(C)
lavish,nauwakan(M),piyagasayangan(K),mausikon(C)
lawful,sunod-ka(M),yagasunod-sang-hukuman(K),subay-sa-balaod(C)
lawn,hinloi-kan(M),mapawa(K),balilinhan(C)
lawsuit,masamok(M),kasaran(K),asunto(C)
lawyer,abogado(M),tig-hukom(K),abugado(C)
lax,mahinay(M),ipabayan(K),pinasagdan(C)
lay,madigun(M),piyaga-dadayaw(K),pagbutang(C)
layer,tag-iya(M),piyagabutang(K),mamanaod(C)
lazy,puloho-ka(M),mataka(K),tapolan(C)
macaroni,makaroni(M),makaroni(K),makaroni(C)
machine,makina(M),makina(K),makina(C)
machinery,makina(M),makinarya(K),makinarya(C)
mad,ma-bu-ot(M),yamadaman(K),napungot(C)
madam,maam(M),babo(K),ginang(C)
madden,tungayawan(M),pagpasangop(K),pagpasuko(C)
magazine,magasin(M),sundanan-nang-bala(K),luklokanan-sa-mga-bala(C)
magic,salamangka(M),katigaman(K),mahika(C)
nosebleed,sunggo(M),sunggo(K),sunggo(C)
tabernacle,kamalig(M),langgaw(K),tabernakulo(C)
ugly,du-ut(M),mat-na-parangay(K),maot(C)
ulcer,masakit-tu-tungo(M),lubang-sang-atay(K),samad-sa-tungol(C)
ulcerous,butot(M),yalubog-yangtungo-kalun(K),naghubag-ang-tungol(C)
ultimate,tapusun(M),katapusan(K),ultimo(C)
umbrella,iturung(M),payong(K),payong(C)
unable,wag-kaimo(M),di-makainang(K),dili-takos(C)
unaccompanied,sangabuokon(M),isa-gayud(K),nag-inusara(C)
unaccountable,wa-labut(M),way-kabut(K),walay-labot(C)
unaccustomed,wa-kamaan(M),ekabauwan(K),dili-anad(C)
unalloyed,wa-ka-sagoli(M),way-sagul(K),walay-sagol(C)
unanimous,tig-aangayan(M),piga-kasambukan-ng-ubos(K),inuyonan-sa-tanan(C)
unavoidable,kunag-kapungungan(M),di-kapugngan(K),dili-kalikayan(C)
unbending,maliskug(M),di-amabawug(K),dili-malubay(C)
unbind,hubari(M),pag-ubag-ng-ukut(K),pagbadbad(C)
unclad,lubas(M),lubas(K),hukas(C)
uncle,amaun(M),bapa(K),uyoan(C)
unclean,malipa(M),maripa(K),hugaw(C)
unclothe,tig-lubasun(M),paglubas(K),paghubog(C)
unconscious,gutasan(M),ikawan-ng-tanod(K),nawad-an-sa-panimuot(C)
unconstitutional,wad-tuo-tu-balaud(M),supak-sang-pamalaod(K),supat-sa-batakan-balaod(C)
uncork,ukaban(M),pagkamang-sang-suksuk(K),pag-ulang-sa-korke(C)
uncover,lingatan(M),pag-abri-ng-sangkob(K),pag-abli-sa-taklob(C)
under,diya-sad(M),sa-sad(K),sa-ubos(C)
undergraduate,wa-natapos(M),studyante-na-wapakabus(K),estudyanteng-wala-pa-mograduwar(C)
underground,sud-tupasak(M),sa-sad-ng-lupa(K),sa-ilalom-sa-yuta(C)
underline,nanlinyaan(M),badlis-sa-sad(K),pagbadlis-sa-ubos(C)
underneath,diya-sud(M),sa-daum(K),sa-ilalom(C)
undershirt,lingat-tu-lapid(M),kamisin(K),kamiseta(C)
understand,namaanan(M),pagsabot(K),pagsabot(C)
underweight,maintuk-tu-timbang(M),mababa-yang-kabugat(K),ubos-ug-gibug-aton(C)
underwent,andiyaan(M),yaagi(K),miadto-sa(C)
undo,pig-uli(M),pagtang-tang(K),pagtangtang(C)
unearth,kadkad(M),paglungag(K),pagkalot(C)
uneven,wa-kaangay(M),bukun-ng-tupung(K),dili-tupong(C)
unexpected,pulig-abut(M),wa-ko-laman-lamana(K),wala-damha(C)
unfair,duwon-tigdapigan(M),bukuhang-madjaw(K),dili-matarong(C)
unfit,wa-angay(M),di-sarang(K),dili-angayan(C)
unfold,tapidan(M),pagbuka(K),pagbukhad(C)
unforgettable,kunag-kalingawan(M),di-kaniningawan(K),dili-mahikalimtan(C)
x-ray,x-ray(M),xray(K),eksri(C)
